"Packet.Length.Std","Total.Length.of.Bwd.Packets","Subflow.Bwd.Bytes","Destination.Port","Packet.Length.Variance","Bwd.Packet.Length.Mean","Avg.Bwd.Segment.Size","Bwd.Packet.Length.Max","Init_Win_bytes_backward","Total.Length.of.Fwd.Packets","Subflow.Fwd.Bytes","Init_Win_bytes_forward","Average.Packet.Size","Packet.Length.Mean","Max.Packet.Length"
2103.116,11607,11607,80,4423095,2321.4,2321.4,5840,229,56,56,256,897.6154,833.5,5840
35.79572,110,110,53,1281.333,110,110,110,-1,48,48,-1,103,68.66667,110
2.309401077,6,6,1063,5.333333333,6,6,6,0,2,2,1024,5,3.333333333,6
2.309401,6,6,2702,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
1434.572,11601,11601,80,2057996,1933.5,1933.5,4380,229,56,56,256,833.0714,777.5333,4380
0,0,0,80,0,0,0,0,-1,24,24,256,7.5,6,6
0,30,30,27975,0,6,6,6,0,6,6,229,7,6,6
62.44037,300,300,53,3898.8,150,150,150,-1,72,72,-1,102,81.6,150
3.464102,6,6,9575,12,6,6,6,0,0,0,29200,3,2,6
4097.538,11607,11607,80,16800000,2901.75,2901.75,11595,229,26,26,8192,1661.857,1454.125,11595
2.309401,6,6,7402,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3.464102,6,6,366,12,6,6,6,0,0,0,29200,3,2,6
3113.952607,11601,11601,80,9696700.839,2900.25,2900.25,8760,229,26,26,8192,1661,1453.375,8760
2402.71381,11607,11607,80,5773033.654,2321.4,2321.4,8760,229,56,56,256,897.6153846,833.5,8760
2.309401,6,6,32769,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3.464102,6,6,9071,12,6,6,6,0,0,0,29200,3,2,6
17.52712,230,230,53,307.2,115,115,115,-1,166,166,-1,119.75,95.8,115
818.7049,35790,35790,443,670277.7,1278.214,1278.214,2576,243,708,708,65535,760.375,744.8571,2576
8.763561,104,104,53,76.8,52,52,52,-1,72,72,-1,53,42.4,52
0,6,6,55111,0,6,6,6,64209,6,6,31088,9,6,6
0,0,0,443,0,0,0,0,252,0,0,304,0,0,0
3.464102,6,6,1074,12,6,6,6,0,0,0,29200,3,2,6
3.464102,6,6,801,12,6,6,6,0,0,0,29200,3,2,6
3.464102,6,6,3998,12,6,6,6,0,0,0,29200,3,2,6
54.77226,284,284,53,3000,142,142,142,-1,84,84,-1,102.5,82,142
0,0,0,80,0,0,0,0,-1,24,24,256,7.5,6,6
2.309401077,6,6,465,5.333333333,6,6,6,0,2,2,1024,5,3.333333333,6
3.464102,6,6,8300,12,6,6,6,0,0,0,29200,3,2,6
728.0807533,5174,5174,443,530101.5833,862.3333333,862.3333333,2636,946,388,388,8192,370.8,347.625,2636
2798.957,11607,11607,80,7834158,2321.4,2321.4,7300,229,20,20,8192,1661,1453.375,7300
1720.253,11607,11607,80,2959271,1658.143,1658.143,4380,229,26,26,8192,1163.3,1057.545,4380
26.83841,164,164,53,720.3,82,82,82,-1,66,66,-1,65.75,52.6,82
0,0,0,80,0,0,0,0,-1,30,30,256,7.2,6,6
0,0,0,80,0,0,0,0,-1,30,30,256,7.2,6,6
2.309401077,6,6,50000,5.333333333,6,6,6,0,2,2,1024,5,3.333333333,6
2.309401,6,6,15004,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
0,0,0,443,0,0,0,0,-1,12,12,16411,9,6,6
2.309401077,6,6,7001,5.333333333,6,6,6,0,2,2,1024,5,3.333333333,6
0,0,0,80,0,0,0,0,-1,24,24,256,7.5,6,6
392.7276,4516,4516,443,154235,301.0667,301.0667,1460,123,646,646,8192,178,172.0667,1460
2.309401,6,6,49999,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
0,0,0,56117,0,0,0,0,450,0,0,374,0,0,0
2471.828,11601,11601,80,6109934,2900.25,2900.25,8675,229,56,56,256,971.9167,897.1538,8675
2.309401,6,6,5910,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3113.953,11601,11601,80,9696701,2900.25,2900.25,8760,229,26,26,8192,1661,1453.375,8760
0,0,0,52702,0,0,0,0,32832,0,0,383,0,0,0
803.0795,10842,10842,443,644936.7,834,834,1689,35040,2868,2868,8192,623.1818,596.087,2519
30.67246,184,184,53,940.8,92,92,92,-1,72,72,-1,73,58.4,92
2110.95076,11601,11601,80,4456113.111,2320.2,2320.2,5840,229,26,26,8192,1453.375,1291.888889,5840
53.12909,258,258,53,2822.7,129,129,129,-1,64,64,-1,88.5,70.8,129
21.9089,154,154,53,480,77,77,77,-1,74,74,-1,66.25,53,77
0,42,42,50796,0,6,6,6,0,6,6,229,6.75,6,6
2.309401,6,6,15742,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
2.309401077,6,6,3801,5.333333333,6,6,6,0,2,2,1024,5,3.333333333,6
2.309401,6,6,3689,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
495.2172,2994,2994,443,245240.1,499,499,1448,243,341,341,29200,238.2143,222.3333,1448
2.309401077,6,6,23,5.333333333,6,6,6,0,2,2,1024,5,3.333333333,6
1975.385,11601,11601,80,3902146,2320.2,2320.2,7300,229,62,62,256,833.5,777.9333,7300
3.464102,6,6,50006,12,6,6,6,0,0,0,29200,3,2,6
2.309401077,6,6,4998,5.333333333,6,6,6,0,2,2,1024,5,3.333333333,6
1607.044,11607,11607,80,2582591,1934.5,1934.5,4380,229,26,26,29200,1163.3,1057.545,4380
2.309401,6,6,1059,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
0,0,0,443,0,0,0,0,252,0,0,304,0,0,0
0,0,0,80,0,0,0,0,-1,24,24,256,7.5,6,6
70.10848736,328,328,53,4915.2,164,164,164,-1,72,72,-1,109,87.2,164
3.464101615,6,6,16018,12,6,6,6,0,0,0,29200,3,2,6
3.464102,6,6,1053,12,6,6,6,0,0,0,29200,3,2,6
3776.191663,20,20,55260,14300000,20,20,20,256,11601,11601,8192,1936.833333,1660.142857,10135
3.464102,6,6,7938,12,6,6,6,0,0,0,29200,3,2,6
35.05424368,206,206,53,1228.8,103,103,103,-1,78,78,-1,80.75,64.6,103
2.309401,6,6,19315,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
21.9089,154,154,53,480,77,77,77,-1,74,74,-1,66.25,53,77
2615.388,11607,11607,80,6840253,2321.4,2321.4,10135,229,62,62,256,833.9286,778.3333,10135
4097.538,11607,11607,80,16800000,2901.75,2901.75,11595,229,26,26,8192,1661.857,1454.125,11595
37.78624088,217,217,53,1427.8,108.5,108.5,135,-1,96,96,-1,90.75,72.6,135
3.464101615,6,6,27000,12,6,6,6,0,0,0,29200,3,2,6
2110.951,11601,11601,80,4456113,2320.2,2320.2,5840,229,26,26,8192,1453.375,1291.889,5840
0,0,0,47768,0,0,0,0,297,0,0,123,0,0,0
38.34058,204,204,53,1470,102,102,102,-1,64,64,-1,75,60,102
3350.634907,11607,11607,80,11200000,2321.4,2321.4,10135,229,26,26,8192,1454.125,1292.555556,10135
3,0,0,443,9,0,0,0,26847,6,6,29200,2,1.5,6
3091.095642,11601,11601,80,9554872.268,2900.25,2900.25,8675,229,26,26,8192,1661,1453.375,8675
2.309401,6,6,1199,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
3.464102,6,6,49176,12,6,6,6,0,0,0,29200,3,2,6
2103.116,11601,11601,80,4423095,2900.25,2900.25,5840,229,62,62,256,897.6154,833.5,5840
1633.102694,11601,11601,80,2667024.41,1933.5,1933.5,5840,229,56,56,256,833.0714286,777.5333333,5840
3113.953,11601,11601,80,9696701,2900.25,2900.25,8760,229,26,26,8192,1661,1453.375,8760
0,0,0,80,0,0,0,0,-1,24,24,256,7.5,6,6
9.237604307,59,59,53,85.33333333,59,59,59,-1,43,43,-1,72.5,48.33333333,59
0,0,0,80,0,0,0,0,-1,24,24,256,7.5,6,6
3.464102,6,6,1022,12,6,6,6,0,0,0,29200,3,2,6
9.237604,75,75,53,85.33333,75,75,75,-1,59,59,-1,96.5,64.33333,75
405.6907,6312,6312,443,164584.9,300.5714,300.5714,1448,5225,898,898,29200,163.8636,160.2222,1448
9.237604,68,68,53,85.33333,68,68,68,-1,52,52,-1,86,57.33333,68
19.70589,82,82,443,388.3222,41,41,41,143,158,158,1533,31.22222,28.1,45
2.309401,6,6,6001,5.333333,6,6,6,0,2,2,1024,5,3.333333,6
7.807201,94,94,53,60.95238,47,47,47,-1,124,124,-1,41.5,35.57143,47
